I.,II.,II.,``,III.A,III.B,III.B,III.B,IV.A.1,IV.A.2,IV.A.3,IV.B.1,IV.B.2,IV.B.3,IV.B.4,IV.C.1,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.B.2,IV.B.2,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.B.3,IV.B.3,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.D.4,IV.B.4,IV.B.4,IV.C.1,IV.C.2,IV.C.3,IV.C.3,IV.C.3,IV.C.4,IV.C.4,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.1,IV.D.1,IV.D.2,IV.D.3,IV.D.4,IV.D.5,IV.B.5.,IV.B.5.,,IV.C.1,IV.C.2,IV.C.5,IV.C.5,IV.C.6,IV.C.6,IV.D.3,IV.D.4,IV.D.5,IV.B.6.,IV.B.6.,IV.B.6.,IV.B.6.,IV.B.6.,IV.C.1,IV.C.5,IV.C.6,IV.D.3,IV.D.3,IV.D.4,IV.B.7.,IV.B.7.,IV.C.1,IV.C.2,IV.D.5,IV.,V.A
State,Jurisdiction,County,Abbreviated District Name,Full District Name,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot (ACRES),1-Family Front Setback (# of feet),1-Family Side Setback (# of feet) ,1-Family Rear Setback (# of feet) ,1-Family Max. Lot Coverage - Buildings (%),1-Family Max. Lot Coverage - Buildings & Impervious Surface (%),1-Family Min. # Parking Spaces,1-Family Max. Height (# of stories),1-Family Max. Height (# of feet),1-Family Floor to Area Ratio,1-Family Min. Unit Size (SF),2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot (ACRES),2-Family Max. Density (UNITS/ACRE),2-Family Front Setback (# of feet),2-Family Side Setback (# of feet) ,2-Family Rear Setback (# of feet) ,2-Family Max. Lot Coverage - Buildings (%),2-Family Max. Lot Coverage - Buildings & Impervious Surface (%),2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Max. Height (# of stories),2-Family Max. Height (# of feet),2-Family Floor to Area Ratio,2-Family Min. Unit Size (SF),3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot (ACRES),3-Family Max. Density (UNITS/ACRE),3-Family Front Setback (# of feet),3-Family Side Setback (# of feet) ,3-Family Rear Setback (# of feet) ,3-Family Max. Lot Coverage - Buildings (%),3-Family Max. Lot Coverage - Buildings & Impervious Surface (%),3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Height (# of stories),3-Family Max. Height (# of feet),3-Family Floor to Area Ratio,3-Family Min. Unit Size (SF),3-Family Max. # Bedrooms Per Unit,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot (ACRES),4+-Family Max. Density (UNITS/ACRE),4+-Family Front Setback (# of feet),4+-Family Side Setback (# of feet) ,4+-Family Rear Setback (# of feet) ,4+-Family Max. Lot Coverage - Buildings (%),4+-Family Max. Lot Coverage - Buildings & Impervious Surface (%),4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Height (# of stories),4+-Family Max. Height (# of feet),4+-Family Floor to Area Ratio,4+-Family Min. Unit Size (SF),4+-Family Max. # Bedrooms Per Unit,4+-Family Max. # Units Per Building,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot (ACRES),AH Max. Density (UNITS/ACRE),AH Min. # Parking Spaces Per Studio or 1BR,AH Min. # Parking Spaces Per 2+ BR,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size (SF),AH Max. # Bedrooms Per Unit,AH Max. # Units Per  Building,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot (acres),ADU Min. # Parking Spaces (Additional to Main Unit),"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Size (% of Main Unit),ADU Max. Size (SF),ADU Max. # Bedrooms Per Unit,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot (Acres),PRD Max. Density (Units/Acre),PRD Max. # Units Per Development,Special Notes,Tooltip Notes
HI,Hawaii,Hawaii,A-100a,Agricultural District - minimum 100 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,100,30,20,30,None,None,2,NONE,35,,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,100,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,"For all Agricultural Districts Chapter 205 includes the following statement ""including clusters of single-family farm dwellings permitted within agricultural parks developed by the State."" All dwellings, including the primary dwelling, must be occupied by people who will operate the agricultural enterprise.",
HI,Hawaii,Hawaii,A-10a,Agricultural District - minimum 10 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,10,30,20,30,None,None,2,None,35,None,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,10,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-1a,Agricultural District - minimum 1 acre,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,1,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-200a,Agricultural District - minimum 200 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,200,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,200,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-20a,Agricultural District - minimum 20 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,20,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,20,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-255a,Agricultural District - minimum  255 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,255,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,255,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-2a,Agricultural District - minimum  2 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,2,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-35a,Agricultural District - minimum 35 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,35,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,35,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
HI,Hawaii,Hawaii,A-3a,Agricultural District - minimum 3 acres,Yes,No,No,Nonresidential,No,No,Prohibited,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,Not Mentioned,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,Allowed/Conditional,No,No,No,No,3,2,No,NONE,NONE,NONE,Prohibited,No,N/A,N/A,N/A,,
